# MultiGeometry integrator with 121 geometries on (4, 66) radial range (2th_deg) and (-180, 180) azimuthal range (deg)
# 
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
# --> LaB6_BM20_over3.dat
#       2th_deg             I 
  4.735766e+00    2.711095e+09
  4.739842e+00    2.711410e+09
  4.743918e+00    2.705537e+09
  4.747995e+00    2.701936e+09
  4.752071e+00    2.703951e+09
  4.756147e+00    2.710824e+09
  4.760224e+00    2.709926e+09
  4.764300e+00    2.707257e+09
  4.768376e+00    2.704361e+09
  4.772452e+00    2.703073e+09
  4.776529e+00    2.708058e+09
  4.780605e+00    2.709768e+09
  4.784681e+00    2.709994e+09
  4.788757e+00    2.707499e+09
  4.792834e+00    2.703529e+09
  4.796910e+00    2.697303e+09
  4.800986e+00    2.691043e+09
  4.805062e+00    2.692709e+09
  4.809139e+00    2.695185e+09
  4.813215e+00    2.695892e+09
  4.817291e+00    2.693402e+09
  4.821368e+00    2.694606e+09
  4.825444e+00    2.697448e+09
  4.829520e+00    2.699068e+09
  4.833596e+00    2.697445e+09
  4.837673e+00    2.691883e+09
  4.841749e+00    2.689795e+09
  4.845825e+00    2.689943e+09
  4.849901e+00    2.689211e+09
  4.853978e+00    2.691504e+09
  4.858054e+00    2.695212e+09
  4.862130e+00    2.694638e+09
  4.866206e+00    2.690325e+09
  4.870283e+00    2.689159e+09
  4.874359e+00    2.688340e+09
  4.878435e+00    2.690169e+09
  4.882512e+00    2.695782e+09
  4.886588e+00    2.697991e+09
  4.890664e+00    2.697785e+09
  4.894740e+00    2.692409e+09
  4.898817e+00    2.693510e+09
  4.902893e+00    2.691900e+09
  4.906969e+00    2.695730e+09
  4.911045e+00    2.692165e+09
  4.915122e+00    2.693373e+09
  4.919198e+00    2.694777e+09
  4.923274e+00    2.697729e+09
  4.927350e+00    2.697843e+09
  4.931427e+00    2.693268e+09
  4.935503e+00    2.696192e+09
  4.939579e+00    2.702063e+09
  4.943655e+00    2.704181e+09
  4.947732e+00    2.699274e+09
  4.951808e+00    2.692235e+09
  4.955884e+00    2.687155e+09
  4.959961e+00    2.686131e+09
  4.964037e+00    2.688647e+09
  4.968113e+00    2.691727e+09
  4.972189e+00    2.689814e+09
  4.976266e+00    2.686955e+09
  4.980342e+00    2.681700e+09
  4.984418e+00    2.685147e+09
  4.988494e+00    2.685108e+09
  4.992571e+00    2.683158e+09
  4.996647e+00    2.681187e+09
  5.000723e+00    2.680275e+09
  5.004799e+00    2.682721e+09
  5.008876e+00    2.682549e+09
  5.012952e+00    2.684449e+09
  5.017028e+00    2.682218e+09
  5.021105e+00    2.680932e+09
  5.025181e+00    2.682417e+09
  5.029257e+00    2.685166e+09
  5.033333e+00    2.687940e+09
  5.037410e+00    2.683483e+09
  5.041486e+00    2.681565e+09
  5.045562e+00    2.679500e+09
  5.049638e+00    2.682358e+09
  5.053715e+00    2.678168e+09
  5.057791e+00    2.677794e+09
  5.061867e+00    2.674605e+09
  5.065943e+00    2.675734e+09
  5.070020e+00    2.675520e+09
  5.074096e+00    2.683718e+09
  5.078172e+00    2.682779e+09
  5.082249e+00    2.684858e+09
  5.086325e+00    2.674857e+09
  5.090401e+00    2.672991e+09
  5.094477e+00    2.666378e+09
  5.098554e+00    2.671596e+09
  5.102630e+00    2.674899e+09
  5.106706e+00    2.679297e+09
  5.110782e+00    2.680346e+09
  5.114859e+00    2.676709e+09
  5.118935e+00    2.669199e+09
  5.123011e+00    2.662255e+09
  5.127087e+00    2.667441e+09
  5.131164e+00    2.673711e+09
  5.135240e+00    2.674538e+09
  5.139316e+00    2.663087e+09
  5.143393e+00    2.645217e+09
  5.147469e+00    2.633489e+09
  5.151545e+00    2.638253e+09
  5.155621e+00    2.639528e+09
  5.159698e+00    2.637261e+09
  5.163774e+00    2.628036e+09
  5.167850e+00    2.622011e+09
  5.171926e+00    2.621753e+09
  5.176003e+00    2.619099e+09
  5.180079e+00    2.615728e+09
  5.184155e+00    2.614735e+09
  5.188231e+00    2.621178e+09
  5.192308e+00    2.625772e+09
  5.196384e+00    2.628181e+09
  5.200460e+00    2.622705e+09
  5.204536e+00    2.615794e+09
  5.208613e+00    2.607613e+09
  5.212689e+00    2.599412e+09
  5.216765e+00    2.595877e+09
  5.220842e+00    2.596469e+09
  5.224918e+00    2.600796e+09
  5.228994e+00    2.604316e+09
  5.233070e+00    2.607172e+09
  5.237147e+00    2.608716e+09
  5.241223e+00    2.608991e+09
  5.245299e+00    2.604072e+09
  5.249375e+00    2.595436e+09
  5.253452e+00    2.590837e+09
  5.257528e+00    2.592116e+09
  5.261604e+00    2.593719e+09
  5.265680e+00    2.590462e+09
  5.269757e+00    2.587720e+09
  5.273833e+00    2.588054e+09
  5.277909e+00    2.590959e+09
  5.281986e+00    2.592835e+09
  5.286062e+00    2.596317e+09
  5.290138e+00    2.596890e+09
  5.294214e+00    2.594040e+09
  5.298291e+00    2.587288e+09
  5.302367e+00    2.584600e+09
  5.306443e+00    2.586472e+09
  5.310519e+00    2.590821e+09
  5.314596e+00    2.589708e+09
  5.318672e+00    2.586385e+09
  5.322748e+00    2.575577e+09
  5.326824e+00    2.572547e+09
  5.330901e+00    2.573125e+09
  5.334977e+00    2.575521e+09
  5.339053e+00    2.573026e+09
  5.343130e+00    2.567139e+09
  5.347206e+00    2.571549e+09
  5.351282e+00    2.576757e+09
  5.355358e+00    2.584265e+09
  5.359435e+00    2.588213e+09
  5.363511e+00    2.590644e+09
  5.367587e+00    2.584219e+09
  5.371663e+00    2.580651e+09
  5.375740e+00    2.577869e+09
  5.379816e+00    2.581106e+09
  5.383892e+00    2.575989e+09
  5.387968e+00    2.572672e+09
  5.392045e+00    2.573582e+09
  5.396121e+00    2.574041e+09
  5.400197e+00    2.572880e+09
  5.404274e+00    2.572731e+09
  5.408350e+00    2.574599e+09
  5.412426e+00    2.579003e+09
  5.416502e+00    2.577781e+09
  5.420579e+00    2.573476e+09
  5.424655e+00    2.570138e+09
  5.428731e+00    2.570198e+09
  5.432807e+00    2.574210e+09
  5.436884e+00    2.578209e+09
  5.440960e+00    2.574574e+09
  5.445036e+00    2.570275e+09
  5.449112e+00    2.566383e+09
